n,Egb,dx,dy,rx,ry,T,steps,f
0.82,0.959,2.58,1.59,2,7,400,84000,lammps_0.959_0.82_2.58_1.59_2_7_400_84000
0.46,0.959,4.03,2.04,2,6,300,95000,lammps_0.959_0.46_4.03_2.04_2_6_300_95000
0.52,0.959,5.09,1.67,2,13,600,66000,lammps_0.959_0.52_5.09_1.67_2_13_600_66000
0.44,0.959,1.92,2.11,4,2,900,133000,lammps_0.959_0.44_1.92_2.11_4_2_900_133000
0.45,0.959,2.69,0.65,1,10,300,122000,lammps_0.959_0.45_2.69_0.65_1_10_300_122000
0.42,0.959,3.28,2.94,2,10,400,57000,lammps_0.959_0.42_3.28_2.94_2_10_400_57000
0.39,0.959,0.78,0.64,2,7,600,29000,lammps_0.959_0.39_0.78_0.64_2_7_600_29000
0.38,0.959,7.65,2.65,2,12,500,94000,lammps_0.959_0.38_7.65_2.65_2_12_500_94000
0.04,0.959,1.66,3.17,4,7,300,4000,lammps_0.959_0.04_1.66_3.17_4_7_300_4000
0.03,0.959,0.34,1.09,3,5,400,5000,lammps_0.959_0.03_0.34_1.09_3_5_400_5000
0.97,0.96,1.37,1.82,4,4,300,186000,lammps_0.960_0.97_1.37_1.82_4_4_300_186000
0.86,0.96,7.89,1.36,3,7,500,10000,lammps_0.960_0.86_7.89_1.36_3_7_500_10000
0.8,0.96,2.7,0.94,2,5,700,226000,lammps_0.960_0.80_2.70_0.94_2_5_700_226000
0.54,0.96,3.16,2.03,2,6,500,286000,lammps_0.960_0.54_3.16_2.03_2_6_500_286000
0.48,0.96,1.23,0.27,2,13,300,79000,lammps_0.960_0.48_1.23_0.27_2_13_300_79000
0.44,0.96,1.49,0.16,2,9,600,67000,lammps_0.960_0.44_1.49_0.16_2_9_600_67000
0.42,0.96,4.2,1.09,1,12,500,16000,lammps_0.960_0.42_4.20_1.09_1_12_500_16000
0.4,0.96,1.59,0.53,1,15,300,185000,lammps_0.960_0.40_1.59_0.53_1_15_300_185000
0.39,0.96,1.48,3.44,2,9,600,145000,lammps_0.960_0.39_1.48_3.44_2_9_600_145000
0.38,0.96,7.48,3.56,1,13,700,5000,lammps_0.960_0.38_7.48_3.56_1_13_700_5000
0.04,0.96,0.06,2.92,2,7,800,3000,lammps_0.960_0.04_0.06_2.92_2_7_800_3000
0.97,0.961,1.94,2.45,3,5,500,225000,lammps_0.961_0.97_1.94_2.45_3_5_500_225000
0.96,0.961,2.18,0.01,2,7,700,6000,lammps_0.961_0.96_2.18_0.01_2_7_700_6000
0.82,0.961,3.3,0.25,2,7,900,1000,lammps_0.961_0.82_3.30_0.25_2_7_900_1000
0.54,0.961,7.83,0.55,1,13,600,9000,lammps_0.961_0.54_7.83_0.55_1_13_600_9000
0.52,0.961,5.62,3.38,2,11,300,46000,lammps_0.961_0.52_5.62_3.38_2_11_300_46000
0.5,0.961,2.74,0.34,1,12,600,174000,lammps_0.961_0.50_2.74_0.34_1_12_600_174000
0.48,0.961,3.31,1.86,2,13,500,127000,lammps_0.961_0.48_3.31_1.86_2_13_500_127000
0.36,0.961,4.22,0.13,1,14,800,21000,lammps_0.961_0.36_4.22_0.13_1_14_800_21000
0.42,0.961,4.06,1.81,1,13,400,67000,lammps_0.961_0.42_4.06_1.81_1_13_400_67000
0.4,0.961,4.25,1.35,2,13,300,45000,lammps_0.961_0.40_4.25_1.35_2_13_300_45000
0.39,0.961,1.85,0.17,1,9,700,1000,lammps_0.961_0.39_1.85_0.17_1_9_700_1000
0.38,0.961,1.04,1.21,4,7,400,104000,lammps_0.961_0.38_1.04_1.21_4_7_400_104000
0.37,0.961,4.28,2.04,1,15,700,51000,lammps_0.961_0.37_4.28_2.04_1_15_700_51000
0.04,0.961,0.93,1.38,2,6,400,6000,lammps_0.961_0.04_0.93_1.38_2_6_400_6000
0.45,0.961,1.09,0.4,2,14,600,164000,lammps_0.961_0.45_1.09_0.40_2_14_600_164000
0.48,0.962,4.71,1.61,2,12,600,27000,lammps_0.962_0.48_4.71_1.61_2_12_600_27000
0.97,0.962,3.81,0.46,4,5,800,2000,lammps_0.962_0.97_3.81_0.46_4_5_800_2000
0.98,0.962,2.78,2.79,3,7,700,3000,lammps_0.962_0.98_2.78_2.79_3_7_700_3000
0.54,0.962,1.38,0.2,1,12,300,194000,lammps_0.962_0.54_1.38_0.20_1_12_300_194000
0.5,0.962,0.83,3.14,2,7,300,6000,lammps_0.962_0.50_0.83_3.14_2_7_300_6000
0.45,0.962,0.07,0.69,1,10,800,159000,lammps_0.962_0.45_0.07_0.69_1_10_800_159000
0.86,0.962,4.28,0.63,2,7,400,7000,lammps_0.962_0.86_4.28_0.63_2_7_400_7000
0.43,0.962,6.41,2.19,4,7,600,154000,lammps_0.962_0.43_6.41_2.19_4_7_600_154000
0.42,0.962,3.37,0.09,1,13,600,9000,lammps_0.962_0.42_3.37_0.09_1_13_600_9000
0.4,0.962,3.44,1.18,2,15,500,118000,lammps_0.962_0.40_3.44_1.18_2_15_500_118000
0.38,0.962,7.44,0.21,2,12,600,149000,lammps_0.962_0.38_7.44_0.21_2_12_600_149000
