n,Egb
0.44,2.546
0.17,2.546
0.42,2.546
0.4,2.546
0.38,2.546
0.33,2.546
0.32,2.546
0.27,2.546
0.25,2.546
0.22,2.546
0.06,2.546
0.0,2.546
0.43,2.546
0.47,2.547
0.44,2.547
0.41,2.547
0.42,2.547
0.5,2.547
0.43,2.547
0.54,2.547
0.71,2.547
0.57,2.547
0.6,2.547
0.62,2.547
0.67,2.547
0.72,2.547
0.56,2.547
0.4,2.547
0.15,2.547
0.36,2.547
0.38,2.547
0.0,2.547
0.03,2.547
0.06,2.547
0.17,2.547
0.19,2.547
0.16,2.547
0.27,2.547
0.28,2.547
0.29,2.547
0.3,2.547
0.33,2.547
0.25,2.547
0.45,2.548
0.7,2.548
0.42,2.548
0.43,2.548
0.44,2.548
0.46,2.548
0.67,2.548
0.48,2.548
0.5,2.548
0.56,2.548
0.6,2.548
0.62,2.548
0.4,2.548
0.47,2.548
0.38,2.548
0.41,2.548
0.35,2.548
0.37,2.548
0.05,2.548
0.06,2.548
0.08,2.548
0.1,2.548
0.12,2.548
0.16,2.548
0.0,2.548
0.18,2.548
0.21,2.548
0.28,2.548
0.29,2.548
0.3,2.548
0.31,2.548
0.17,2.548
0.42,2.549
0.43,2.549
0.44,2.549
0.46,2.549
0.5,2.549
0.53,2.549
0.67,2.549
0.58,2.549
0.68,2.549
0.71,2.549
0.72,2.549
0.4,2.549
0.56,2.549
0.38,2.549
0.33,2.549
0.31,2.549
0.0,2.549
0.05,2.549
0.08,2.549
0.15,2.549
0.16,2.549
0.12,2.549
0.21,2.549
0.23,2.549
0.25,2.549
0.27,2.549
0.28,2.549
0.2,2.549
0.62,2.55
0.5,2.55
0.53,2.55
0.56,2.55
0.61,2.55
0.64,2.55
0.77,2.55
0.69,2.55
0.7,2.55
0.71,2.55
0.72,2.55
0.75,2.55
0.49,2.55
0.65,2.55
0.48,2.55
0.0,2.55
0.42,2.55
0.44,2.55
0.06,2.55
0.07,2.55
0.08,2.55
0.13,2.55
0.21,2.55
0.11,2.55
0.25,2.55
0.27,2.55
0.32,2.55
0.38,2.55
0.4,2.55
0.22,2.55
0.5,2.551
0.43,2.551
0.44,2.551
0.47,2.551
0.48,2.551
0.75,2.551
0.69,2.551
0.54,2.551
0.56,2.551
0.57,2.551
0.6,2.551
0.62,2.551
0.42,2.551
0.52,2.551
0.4,2.551
0.25,2.551
0.37,2.551
0.39,2.551
0.03,2.551
0.08,2.551
0.11,2.551
0.15,2.551
0.2,2.551
0.1,2.551
0.28,2.551
0.29,2.551
0.3,2.551
0.33,2.551
0.34,2.551
0.21,2.551
0.53,2.552
0.43,2.552
0.44,2.552
0.48,2.552
0.5,2.552
0.52,2.552
0.56,2.552
0.83,2.552
0.59,2.552
0.6,2.552
0.66,2.552
0.67,2.552
0.73,2.552
0.42,2.552
0.58,2.552
0.4,2.552
0.69,2.552
0.36,2.552
0.0,2.552
0.04,2.552
0.06,2.552
0.07,2.552
0.08,2.552
0.14,2.552
0.15,2.552
0.38,2.552
0.21,2.552
0.22,2.552
0.25,2.552
0.28,2.552
0.29,2.552
0.31,2.552
0.33,2.552
0.17,2.552
0.43,2.553
0.44,2.553
0.46,2.553
0.47,2.553
0.5,2.553
0.67,2.553
0.56,2.553
0.62,2.553
0.7,2.553
0.72,2.553
0.42,2.553
0.54,2.553
0.83,2.553
